Framework Topic,Status,Term,Patterns,,,,Term Type,Source,Topic,
Customer-Inclusiveness,Finalized (SET) pattern development,product development-human capital,"['develop', 'innovat', 'creat(e|ion)', 'imagine', 'produce', 'make', 'design'],['product(s)? ', 'service'],['talent', 'skill', 'employee', 'work(er|force)', 'contractor'],[7,7,7,15]",-,-,-,practice,IRIS+ Gender Lens Impact Theme - Global Impact Investing Network,other customer inclusiveness,
,,,,,,,,,,
DEI-Strategy/Governance,Finalized (SET) pattern development,discrimination lawsuit,"['lawsuit', ' su(e(d|s)?|ing) ', 'class(- | )?action'],['discriminat'],[5,15]",-,-,-,outcome,SASB slides: https://www.sasb.org/wp-content/uploads/2021/12/List-of-Proposed-Industries-for-DEI-Industry-Characteristics-Indicators.pdf,controversies,
DEI-Strategy/Governance,Finalized (SET) pattern development,protest-employee,"['protest', 'march', 'picket'],['employee', 'work(er|force|( )?place)', 'contractor'],[10,15]",-,-,-,outcome,from Fall 2021 list,controversies,
DEI-Strategy/Governance,Finalized (SET) pattern development,sit-in-employee,"['s(at|it)-in'],['employee', 'work(er|force|( )?place)', 'contractor'],[10,15]",-,-,-,outcome,from Fall 2021 list,controversies,
DEI-Strategy/Governance,Finalized (SET) pattern development,strike/walk-out-employee,"['strik(e|ing)', 'walk(ed|s)?( |-)?(out|off)', 'refuse(d)? to work'],['employee', 'work(er|force|( )?place)', 'contractor'],[10,15]",-,-,-,outcome,from Fall 2021 list,controversies,
DEI-Strategy/Governance,Finalized (SET) pattern development,trust-employee,"[' trust'],['employee', 'work(er|force)', 'contractor'],[7,15]",-,-,-,outcome,from Fall 2021 list,controversies,
DEI-Strategy/Governance,Finalized (SET) pattern development,backlash/resistance-employee,"['backlash', 'critici(sm|ze)', 'out(cry|rage)', ' (anger|angry) ', 'fury', 'push(-| )?back', ' dissent', 'object', 'complain', 'air(ed) grievance'],['employee', 'work(er|force)', 'contractor'],[10,15]",-,-,-,outcome,from Fall 2021 list,controversies,
DEI-Strategy/Governance,Finalized (SET) pattern development,lawsuit/litigation-employee,"['lawsuit', ' su(e(d)?|ing) ', 'litigat', ' court ', 'class(- | )?action'],['(ex)?( |-)?employ(er|ee)', 'work(er|force|place)', 'contractor'],[10,15]",-,-,-,outcome,from Fall 2021 list,controversies,
DEI-Strategy/Governance,Finalized (SET) pattern development,DEI department-internal,"['signatory', 'pledge', '(will sign|endorse)(.*)(protocol|accord|goals|agreement)'],[' dei ', 'diversity(.*)equity(.*)and inclusion', 'de\&i', 'diversity and inclusion', 'diversity and equity', 'inclusion and equity', 'equity and inclusion'],[7,15]",-,-,-,practice,As You Sow - Racial Justice Scorecard (DEI METRICS MAPPING Spreadsheet),assignment of roles/responsibilities,
DEI-Strategy/Governance,Finalized (SET) pattern development,DEI roles-internal,"['roles', 'staff', ' position', 'admin', 'personnel', 'officer', 'faculty', 'job title'],[' dei ', 'diversity(.*)equity(.*)and inclusion', 'de\&i', 'diversity and inclusion', 'diversity and equity', 'inclusion and equity', 'equity and inclusion'],[7,15]",-,-,-,practice,HRC 2023 Corporate Equality Index - Human Rights Campaign,assignment of roles/responsibilities,
DEI-Strategy/Governance,Finalized (SET) pattern development,Chief Diversity Officer,"['chief(.*)officer'],[' dei ', 'diversity(.*)equity(.*)and inclusion', 'de\&i', 'diversity and inclusion', 'diversity and equity', 'inclusion and equity', 'equity and inclusion'],[7,15]",-,-,-,practice,ILPA Due Dilligence Questionanaire (DDQ) 2.0  - Institutional Limited Partners Association (ILPA),assignment of roles/responsibilities,
DEI-Strategy/Governance,Finalized (SET) pattern development,diversity council/committee-external,"['committee', 'council', 'board', 'group'],[' dei ', 'diversity(.*)equity(.*)and inclusion', 'de\&i', 'diversity and inclusion', 'diversity and equity', 'inclusion and equity', 'equity and inclusion'],[7,15]",-,-,-,practice,HRC 2023 Corporate Equality Index - Human Rights Campaign,assignment of roles/responsibilities,
DEI-Strategy/Governance,Finalized (SET) pattern development,sign diversity pledge,"['signatory', 'pledge', '(will sign|endorse)(.*)(protocol|accord|goals|agreement)'],[' dei ', 'diversity(.*)equity(.*)and inclusion', 'de\&i', 'diversity and inclusion', 'diversity and equity', 'inclusion and equity', 'equity and inclusion'],[7,15]",-,-,-,practice,ILPA Due Dilligence Questionanaire (DDQ) 2.0  - Institutional Limited Partners Association (ILPA),general DEI policy commitments,
DEI-Strategy/Governance,Finalized (SET) pattern development,affirmative action,"['affirmative action'],['employ', 'work(er|force|( )?place)', 'contractor', 'hir(e|ing)', 'recruit'],[5,15]","['affirmative', '(extra|additional|particular|special) consideration', 'to factor in', 'to consider'],[' hir(e(s|d)?|ing) ', 'recruit'],[10,15]",-,-,practice,from Fall 2021 list,general DEI policy commitments,
DEI-Strategy/Governance,Finalized (SET) pattern development,hire goal/quota-employee,"['quota', ' goal', 'target'],['employ ', 'work(er|force)', 'contractor',  'compos(e|ition)', 'demographic', ' hir(e(s|d)?|ing) ', 'recruit'],[10,15]",-,-,-,practice,from Fall 2021 list,targets/goals,
DEI-Strategy/Governance,Finalized (SET) pattern development,establish DEI goals-internal,"[' goal', 'metric', 'objective', 'mission'],['explicit', 'quantifiable', 'time-bound', ' by ', 'measurable'],[' dei ', 'diversity(.*)equity(.*)and inclusion', 'de\&i', 'd\&i', 'diversity and inclusion', 'diversity and equity', 'inclusion and equity', 'equity and inclusion'],[10,10,7,15]",-,-,-,practice,from Fall 2021 list,targets/goals,
DEI-Strategy/Governance,Finalized (SET) pattern development,report DEI goals-external,"[' goal', 'metric', 'objective', 'mission'],[' dei ', 'diversity(.*)equity(.*)and inclusion', 'de\&i', 'd\&i', 'diversity and inclusion', 'diversity and equity', 'inclusion and equity', 'equity and inclusion'],['announc', ' report', 'disclos', 'publish', 'describ', 'detail', 'reveal', 'ma(de|k(e|ing)) public'],[7,10,10,15]",-,-,-,practice,As You Sow & Whistlestop Capital - Workplace Equity Scorecard (DEI METRICS MAPPING Spreadsheet),targets/goals,
DEI-Strategy/Governance,Finalized (SET) pattern development,track DEI goals-internal,"[' goal', 'metric', 'objective', 'mission'],[' dei ', 'diversity(.*)equity(.*)and inclusion', 'de\&i', 'd\&i', 'diversity and inclusion', 'diversity and equity', 'inclusion and equity', 'equity and inclusion'],[' track', 'document', 'record', ' log(ged|s)? ', '(collect|compil|gather)(e|ed|es|ing|s) (data|info)'],[7,10,10,15]",-,-,-,practice,As You Sow & Whistlestop Capital - Workplace Equity Scorecard (DEI METRICS MAPPING Spreadsheet),targets/goals,
DEI-Strategy/Governance,Finalized (SET) pattern development,report DEI performance-internal,"['internal', 'within', 'inside', 'private', 'among', 'in-house'],['announc', ' report', 'disclos', 'publish', 'describ', 'detail', 'reveal', 'ma(de|k(e|ing)) public'],['(company|business|work(place|force|er| environment)|management|leaders|firm)(.*)(performance|conduct|progress|execution|implement|success|enforce|fulfill|achieve|realiz|(reach|advance|improve|grow)(.*)(objective|mission|goal))'],[7,10,15,15]",-,-,-,practice,PI recommendation,targets/goals,
DEI-Strategy/Governance,Finalized (SET) pattern development,track DEI performance-internal,"['internal', 'within', 'inside', 'private', 'among', 'in-house'],['survey', 'accounting', 'review', 'summar(ize|y)', ' track', 'document', 'record', ' log(ged|s)? ', '(collect|compil|gather)(e|ed|es|ing|s) (data|info)'],['(company|business|work(place|force|er| environment)|management|leaders|firm)(.*)(performance|conduct|progress|execution|implement|success|enforce|fulfill|achieve|realiz|(reach|advance|improve|grow)(.*)(objective|mission|goal))'],[7,10,15,15]",-,-,-,practice,PI recommendation,targets/goals,
DEI-Strategy/Governance,Finalized (SET) pattern development,public recognition of DEI performance-external,"['recognized', 'award'],['(gender|racial) equity', ' dei ', 'diversity(.*)equity(.*)and inclusion', 'de\&i', 'd\&i', 'diversity and inclusion', 'diversity and equity', 'inclusion and equity', 'equity and inclusion', 'empower'],[10,15]","['top', 'best', 'high'],['(rating|record|rank|performance|accomplish|progress|achievement|benchmark)'],['place(s)? to work', 'company', 'firm', 'business'],[3,5,7,15]",-,-,outcome,PI recommendation,controversies,
DEI-Strategy/Governance,Finalized (SET) pattern development,senior leadership accountability,"['accountab', 'responsible', ' oblig'],[' goal', 'metric', 'objective', 'mission'],['executive', 'senior (leadership|manage|position|roles)', 'C-suite', 'director', 'chair(man|woman|person)', ' cio(s)? ', ' cto(s)? ', ' coo(s)? ', ' cfo(s)? ', ' ceo(s)? ', 'company(\'s)? board'],[10,10,10,15]","[' goal', 'metric', 'objective', 'mission'],[' link', 'attach', 'contingent', 'bind', 'connect', 'hitch', 'pin', 'hook'],['(executive|senior (leadership|manage|position|roles)|c-suite|director|chair(man|woman|person)| cio(s)? | cto(s)? | coo(s)? | cfo(s)? | ceo(s)? |company(\'s)? board)(.*)(pay|bonus|dividend|income|remunerat|compensat)'],[10,10,10,15]",-,-,practice,Gender Benchmark - World Benchmarking Alliance,accountability/auditing,
DEI-Strategy/Governance,Finalized (SET) pattern development,policy-performance appraisal,"['polic(ies|y)', 'system', 'procedure'],['apprais', 'assess', 'evaluat', 'analy', ' report', 'disclos', 'publish', 'describ', 'detail', 'reveal', 'stud(ied|y)', 'survey', 'accounting', 'review', 'summar(ize|y)', ' track', 'document', 'record', ' log(ged|s)? ', '(collect|compil|gather)(e|ed|es|ing|s) (data|info)'],['performance'],[7,7,7,15]",-,-,-,practice,ILPA Due Dilligence Questionanaire (DDQ) 2.0  - Institutional Limited Partners Association (ILPA),general DEI policy commitments,
DEI-Strategy/Governance,Finalized (SET) pattern development,policy-EEO,"['polic(ies|y)', 'procedure'],['equal (employment )?opportunit', ' eeo '],[10,15]",-,-,-,practice,Corporate Racial Equity Tracker - JUST Capital,general DEI policy commitments,
DEI-Strategy/Governance,Finalized (SET) pattern development,diversity audit-employee,"['audit'],['diversity'],['employee', 'work(er|force|( )?place)', 'contractor'],[5,7,7,15]",-,-,-,practice,ILPA Due Dilligence Questionanaire (DDQ) 2.0  - Institutional Limited Partners Association (ILPA),accountability/auditing,
DEI-Strategy/Governance,Finalized (SET) pattern development,integrated into business strategy,"[' dei ', 'diversity(.*)equity(.*)and inclusion', 'de\&i', 'd\&i', 'diversity and inclusion', 'diversity and equity', 'inclusion and equity', 'equity and inclusion'],['integrat', ' fuse', 'incorporat', ' join', ' link', ' uni(te|fy)', 'foundation', 'essential', 'integral', 'necessary', 'principal', 'critical', 'vital'],['(business|corporate|firm|company)(.*)(strategy)'],[10,10,10,15]",-,-,-,practice,Gender Benchmark - World Benchmarking Alliance,general DEI policy commitments,
DEI-Strategy/Governance,Finalized (SET) pattern development,due diligence-risk identification/assessment process,"['due diligence'],['process', 'polic(ies|y)', 'system', 'method', 'protocol', 'strategy', ' plan', 'practice', 'procedure'],['risk(.*)(recogn|identif)', '(recogn|identif)(.*)risk', 'risk(.*)assess', 'assess(.*)risk'],[10,7,10,15]",-,-,-,practice,Gender Benchmark - World Benchmarking Alliance,accountability/auditing,
DEI-Strategy/Governance,Finalized (SET) pattern development,policy-re-entry,"['polic(ies|y)', 'system', 'practice', 'procedure'],['re-entry', 'criminal', 'incarcerat'],[' hir(e(s|d)?|ing) ', 'recruit', 'employ '],[10,10,10,15]",-,-,-,practice,Corporate Racial Equity Tracker - JUST Capital,general DEI policy commitments,
DEI-Strategy/Governance,Finalized (SET) pattern development,harassment,"['harass'],['harass'],[7,15]",-,-,-,outcome,from Fall 2021 list,controversies,
DEI-Strategy/Governance,Finalized (SET) pattern development,sexual harassment/abuse,"['sexual'],['harass', 'violen', 'violat', ' abus', 'misconduct'],[7,15]",-,-,-,outcome,from Fall 2021 list,controversies,
DEI-Strategy/Governance,Finalized (SET) pattern development,appointment of governance positions,"['nominat', 'select', ' elect', 'cho(o)?se', 'appoint', 'designat', 'determin(e|ing)', 'pick', 'assign'],['govern(.*)(member| position)', 'executive', 'senior (leadership|manage|position|roles)', 'C-suite', 'director', 'chair(man|woman|person)', ' cio(s)? ', ' cto(s)? ', ' coo(s)? ', ' cfo(s)? ', ' ceo(s)? ', 'company(\'s)? board'],[10,15]",-,-,-,practice,GRI Standards - GRI,assignment of roles/responsibilities,
DEI-Strategy/Governance,Finalized (SET) pattern development,vertical diversity balance,"['leaders', 'governance bod', 'executive', 'senior (leadership|manage|position|roles)', 'C-suite', 'director', 'chair(man|woman|person)', ' cio(s)? ', ' cto(s)? ', ' coo(s)? ', ' cfo(s)? ', ' ceo(s)? ', 'company(\'s)? board', '(higher|upper|top) level', 'across levels'],['direct workforce', 'across levels', '(lower|bottom|base|entry) level', 'employee', 'worker', 'contractor'],['(balance|equal|same|parity)(.*)(represent| compos(e|ition)|ma(d|k)e( |-)?up)', '(represent| compos(e|ition)|ma(d|k)e( |-)?up)(.*)(balance|equal|same|parity)'],[10,10,10,15]",-,-,-,outcome,Gender Equallity Scorecard - Equileap,controversies,
DEI-Strategy/Governance,Finalized (SET) pattern development,settlement,"[' settle(d|ment)? '],['lawsuit', ' su(e(d)?|ing) ', 'litigat', ' court ', ' pay', '\$', 'million', 'billion', 'thousand', 'agree', ' to ', ' will '],[10,15]",-,-,-,outcome,from Fall 2021 list,controversies,
DEI-Strategy/Governance,Finalized (SET) pattern development,seizure of assets,"[' seiz(e|ure)'],['asset'],[7,15]",-,-,-,outcome,from Fall 2021 list,controversies,
DEI-Strategy/Governance,Finalized (SET) pattern development,withhold release order,"['withhold release order', ' wro '],['withhold release order', ' wro '],[7,15]",-,-,-,outcome,from Fall 2021 list,controversies,
DEI-Strategy/Governance,Finalized (SET) pattern development,corruption,"['corrupt'],['corrupt'],[7,15]",-,-,-,outcome,from Fall 2021 list,controversies,
DEI-Strategy/Governance,Finalized (SET) pattern development,discrimination,"[' discriminat'],[' discriminat'],[7,15]",-,-,-,outcome,from Fall 2021 list,controversies,
DEI-Strategy/Governance,Finalized (SET) pattern development,shutdown/stoppage-operational/workplace,"['operation', 'work(er|force|( )?place)', 'factory', 'business', 'company', 'firm', 'office', 'supply chain'],['shutdown', ' stop'],[7,15]",-,-,-,outcome,from Fall 2021 list,controversies,
DEI-Strategy/Governance,Finalized (SET) pattern development,restitution/reimbursement,"['restitut', 'reimburs', 'repay', 'recompens'],['restitut', 'reimburs', 'repay', 'recompens'],[7,15]",-,-,-,outcome,from Fall 2021 list,controversies,
DEI-Strategy/Governance,Finalized (SET) pattern development,"alleg, accus, publicly expose","['alleg', 'accus'],['alleg', 'accus'],[7,15]","[' expos', 'reveal', 'br(ing(s)?|ought) to light', 'disclos', 'uncover', 'unmask', 'divulge'],[' public'],[5,15]",-,-,outcome,from Fall 2021 list,controversies,
DEI-Strategy/Governance,Finalized (SET) pattern development,court-ordered relief,"['relief'],['monetary', 'equitable', 'injunctive'],[5,15]",-,-,-,outcome,from Fall 2021 list,controversies,
DEI-Strategy/Governance,Finalized (SET) pattern development,sanction,"['sanction'],['sanction'],[7,15]",-,-,-,outcome,from Fall 2021 list,controversies,
DEI-Strategy/Governance,Finalized (SET) pattern development,scandal,"['scandal'],['scandal'],[7,15]",-,-,-,outcome,from Fall 2021 list,controversies,
DEI-Strategy/Governance,Finalized (SET) pattern development,controversy,"['controversy'],['controversy'],[7,15]",-,-,-,outcome,from Fall 2021 list,controversies,
DEI-Strategy/Governance,Finalized (SET) pattern development,misconduct,"['misconduct'],['misconduct'],[7,15]",-,-,-,outcome,from Fall 2021 list,controversies,
DEI-Strategy/Governance,Finalized (SET) pattern development,monetary damages,"['pa(y|id)', 'monetary', 'financial', 'compensatory', 'punitive', 'exemplary'],[' fee ', 'damages', ' fine', 'penalt', 'punishment'],[5,15]","[' pay', '\$', 'million', 'billion', 'thousand'],['lawsuit', ' su(e(d)?|ing) ', 'litigat', ' court ', jur(or|y)'],[10,15]",-,-,outcome,from Fall 2021 list,controversies,
DEI-Strategy/Governance,Finalized (SET) pattern development,transparency/accountability,"['honesty', 'transparency', 'accountability'],['honesty', 'transparency', 'accountability'],[7,15]","['(will|to) be'],['honest', 'transparen', 'accountab'],[7,15]",-,-,practice,SASB slides: https://www.sasb.org/wp-content/uploads/2021/12/List-of-Proposed-Industries-for-DEI-Industry-Characteristics-Indicators.pdf,accountability/auditing,
DEI-Strategy/Governance,Finalized (SET) pattern development,social audit,"['social audit'],['social audit'],[7,15]",-,-,-,practice,from Fall 2021 list,accountability/auditing,
,,,,,,,,,,
Management/Board/Owner-Demographics,Finalized (SET) pattern development,composition-leadership,"[ ' only', ' few', 'majority', 'representation',  'compos(e|ition)', 'ma(d|k)e( |-)?up', '\%', 'percent'],['leaders', 'governance bod', 'executive', 'senior (leadership|manage|position|roles)', 'C-suite', 'director', 'chair(man|woman|person)', ' cio(s)? ', ' cto(s)? ', ' coo(s)? ', ' cfo(s)? ', ' ceo(s)? ', 'company(\'s)? board', '(higher|upper|top|mid|senior)( |-)level'],[7,15]",-,-,-,outcome,Embankment Project for Inclusive Capitalism - EPIC Coalition Report,diversity representation among senior management/board,
Management/Board/Owner-Demographics,Finalized (SET) pattern development,track composition-leadership membership,"['survey', 'accounting', 'review', 'summar(ize|y)', ' track', 'document', 'record', ' log(ged|s)? ', '(collect|compil|gather)(e|ed|es|ing|s) (data|info)', 'catalog', 'observe', 'analy'],['member(.*)( compos(e|ition)|represent|ma(d|k)e( |-)?up)', '( compos(e|ition)|represent|ma(d|k)e( |-)?up)(.*)member'],['leaders', 'governance bod', 'executive', 'senior (leadership|manage|position|roles)', 'C-suite', 'director', 'chair(man|woman|person)', ' cio(s)? ', ' cto(s)? ', ' coo(s)? ', ' cfo(s)? ', ' ceo(s)? ', 'company(\'s)? board', '(higher|upper|top) level'],[10,7,10,15]",-,-,-,practice,ILPA Due Dilligence Questionanaire (DDQ) 2.0  - Institutional Limited Partners Association (ILPA),diversity representation among senior management/board,
Management/Board/Owner-Demographics,Finalized (SET) pattern development,track composition-leadership tenure,"['survey', 'accounting', 'review', 'summar(ize|y)', ' track', 'document', 'record', ' log(ged|s)? ', '(collect|compil|gather)(e|ed|es|ing|s) (data|info)', 'catalog', 'observe', 'analy'],['tenure', 'length of (member|appoint|position|role)'],['leaders', 'governance bod', 'executive', 'senior (leadership|manage|position|roles)', 'C-suite', 'director', 'chair(man|woman|person)', ' cio(s)? ', ' cto(s)? ', ' coo(s)? ', ' cfo(s)? ', ' ceo(s)? ', 'company(\'s)? board', '(higher|upper|top) level'],[10,7,10,15]",-,-,-,practice,GRI Standards - GRI,diversity representation among senior management/board,
Management/Board/Owner-Demographics,Finalized (SET) pattern development,report composition-leadership membership,"['announc', ' report', 'disclos', 'publish', 'describ', 'detail', 'reveal', 'ma(de|k(e|ing)) public'],['member(.*)( compos(e|ition)|represent|ma(d|k)e( |-)?up)', '( compos(e|ition)|represent|ma(d|k)e( |-)?up)(.*)member'],['leaders', 'governance bod', 'executive', 'senior (leadership|manage|position|roles)', 'C-suite', 'director', 'chair(man|woman|person)', ' cio(s)? ', ' cto(s)? ', ' coo(s)? ', ' cfo(s)? ', ' ceo(s)? ', 'company(\'s)? board', '(higher|upper|top) level'],[10,7,10,15]",-,-,-,practice,Corporate Racial Equity Tracker - JUST Capital,diversity representation among senior management/board,
Management/Board/Owner-Demographics,Finalized (SET) pattern development,report composition-leadership tenure,"['announc', ' report', 'disclos', 'publish', 'describ', 'detail', 'reveal', 'ma(de|k(e|ing)) public'],['tenure', 'length of (member|appoint| position)'],['leaders', 'governance bod', 'executive', 'senior (leadership|manage|position|roles)', 'C-suite', 'director', 'chair(man|woman|person)', ' cio(s)? ', ' cto(s)? ', ' coo(s)? ', ' cfo(s)? ', ' ceo(s)? ', 'company(\'s)? board', '(higher|upper|top) level'],[10,7,10,15]",-,-,-,practice,GRI Standards - GRI,diversity representation among senior management/board,
Management/Board/Owner-Demographics,Finalized (SET) pattern development,equity ownership diversity,"[' own', ' hold'],[' stock', 'shares', 'equity'],[7,15]",-,-,-,outcome,AIMA & Albourne Diversity and Inclusion Questionnaire - AIMA,percentage of firm equity owned by minority-led groups,
Management/Board/Owner-Demographics,Finalized (SET) pattern development,ownership by employees,"[' own', ' hold'],['employee', 'work(er|force)', 'contractor'],[' stock', 'shares', 'equity'],[10,10,7,15]",-,-,-,outcome,IRIS+ Gender Lens Impact Theme - Global Impact Investing Network,percentage of firm equity owned by minority-led groups,
Management/Board/Owner-Demographics,Finalized (SET) pattern development,profit participation diversity,"['participat'],['profit'],[7,15]",-,-,-,outcome,AIMA & Albourne Diversity and Inclusion Questionnaire - AIMA,diversity representation among senior management/board,
,,,,,,,,,,
Pay-Equity,Finalized (SET) pattern development,wage dispute,"['dispute', 'claim', 'theft', 'complaint'],[' wage(s)? '],[7,15]",-,-,-,outcome,Diversity and Inclusion Ratings - Diversity and Inclusion Ratings,pay equity,
Pay-Equity,Finalized (SET) pattern development,compensation-(un)equal,"['(-| )pa(id|y)', ' wage(s)? ', 'compensat', 'remunerat'],['disparity', 'equal', ' same', 'fair', ' more ', ' less', ' gap ', 'under', 'discriminat'],[7,15]","[' pay ', ' wage(s)? ', 'compensat', 'remunerat'],['equit(y|able)'],[5,15]",-,-,outcome,PI recommendation,pay equity,
Pay-Equity,Finalized (SET) pattern development,report composition-pay equity,"['announc', ' report', 'disclos', 'publish', 'describ', 'detail', 'reveal', 'ma(de|k(e|ing)) public'],['(-| )pa(id|y)', ' wage(s)? ', 'compensat', 'remunerat', 'salary'],['(employee|work(er|force)|contractor)(.*)(compos(e|ition)|demographic)', '(compos(e|ition)|demographic)(.*)(employee|work(er|force)|contractor)'],[10,10,10,15]",-,-,-,practice,As You Sow - Racial Justice Scorecard (DEI METRICS MAPPING Spreadsheet),pay equity,
Pay-Equity,Finalized (SET) pattern development,report percent change-pay equity,"['announc', ' report', 'disclos', 'publish', 'describ', 'detail', 'reveal', 'ma(de|k(e|ing)) public'],['(-| )pa(id|y)', ' wage(s)? ', 'compensat', 'remunerat', 'salary'],['change'],[10,7,10,15]",-,-,-,practice,IRIS+ Gender Lens Impact Theme - Global Impact Investing Network,pay equity,
Pay-Equity,Finalized (SET) pattern development,highest paid ratio of pay,"['highest paid'],['ratio'],[' wage(s)? ', 'compensat', 'remunerat', 'salary'],[7,7,7,15]",-,-,-,outcome,ESRS S3 on Equal Opportunities - European Financial Reporting Advisory Group,pay equity,
Pay-Equity,Finalized (SET) pattern development,track composition-pay equity,"['survey', 'accounting', 'review', 'summar(ize|y)', ' track', 'document', 'record', ' log(ged|s)? ', '(collect|compil|gather)(e|ed|es|ing|s) (data|info)', 'catalog', 'observe', 'analy'],['(-| )pa(id|y)', ' wage(s)? ', 'compensat', 'remunerat', 'salary'],['(employee|work(er|force)|contractor)(.*)(compos(e|ition)|demographic)', '(compos(e|ition)|demographic)(.*)(employee|work(er|force)|contractor)'],[15,10,10,15]",-,-,-,practice,Corporate Racial Equity Tracker - JUST Capital,pay equity,
,,,,,,,,,,
Public-Advocacy,Finalized (SET) pattern development,CEO responsibility,"[' ceo(s)? '],['responsib', 'accountab', 'answerable', 'at fault'],['(admit|took|take|acknowledg|accept|assume|agree| conced|declar|recogni|profess|procla(i)?m| claim)(.*)personal'],[10,10,10,15]",-,-,-,practice,As You Sow - Racial Justice Scorecard (DEI METRICS MAPPING Spreadsheet),other public statement,
Public-Advocacy,Finalized (SET) pattern development,acknowledgement-BLM,"['acknowledg', 'procla(i)?m', 'declar', 'recogni', 'statement'],[' public'],['black lives matter', ' blm ', 'police violence', 'criminal justice', 'anti( |-)?racist'],[7,7,7,15]",-,-,-,practice,As You Sow - Racial Justice Scorecard (DEI METRICS MAPPING Spreadsheet),public statements in support of a marginalized group,
Public-Advocacy,Finalized (SET) pattern development,acknowledgement-environmental justice,"['acknowledg', 'procla(i)?m', 'declar', 'recogni', 'statement'],[' public'],['(environmental|climate) justice'],[7,7,7,15]",-,-,-,practice,As You Sow - Racial Justice Scorecard (DEI METRICS MAPPING Spreadsheet),public statements in support of a marginalized group,
Public-Advocacy,Finalized (SET) pattern development,commitment/pledge,"[' commit', 'pledg'],[' to ', 'will', 'announc'],[5,15]",-,-,-,practice,Social Transformation Baseline Assessment - World Benchmarking Alliance,other public statement,
Public-Advocacy,Finalized (SET) pattern development,statement-social justice,"['acknowledg', 'procla(i)?m', 'declar', 'recogni', 'statement'],[' public'],['social justice'],[7,7,7,15]",-,-,-,practice,As You Sow - Racial Justice Scorecard (DEI METRICS MAPPING Spreadsheet),public statements in support of a marginalized group,
Public-Advocacy,Finalized (SET) pattern development,commitment to protect human rights,"['acknowledg', 'procla(i)?m', 'declar', 'recogni', 'statement'],[' commit'],['human right'],[7,7,7,15]",-,-,-,practice,Gender Equallity Scorecard - Equileap,other public statement,
Public-Advocacy,Finalized (SET) pattern development,hate speech accountability-advertising,"['Fox News', 'NewsMax', 'right-(wing|lean)', 'radical', 'conservative', 'misinform', 'hate( |-)(fill|speech)', ' oan '],['discontinu', ' pull', 'stop', 'break', ' bar', ' end', 'drop'],['advertis'],[10,7,10,15]",-,-,-,practice,As You Sow - Racial Justice Scorecard (DEI METRICS MAPPING Spreadsheet),public statements in support of a marginalized group,
,,,,,,,,,,
Recruitment/Retention/Promotion-Rates,Finalized (SET) pattern development,hiring/recruitment,"[' hir(e(s|d)?|ing) ', 'recruit'],['different', 'vari(ety|ous)', 'broad', 'wide'],[10,15]","['welcom(e|ing)', 'embrac', 'celebrat', 'proud'],['employ', '(team|work(force|place)?)'],['differen', 'vari(ety|ous)', 'divers', 'broad', 'wide', 'unique'],[10,10,10,15]","[' hir(e(s|d)?|ing) ', 'recruit', 'attract', '(bring|draw(n)?) (in|to)'],['employee', 'work(er|force)', 'contractor', ' position', 'opportunit', 'opening', 'seek(er|ing)', 'applicant', 'vacanc'],[8,15]",-,practice,PI recommendation,recruitment rates,
Recruitment/Retention/Promotion-Rates,Finalized (SET) pattern development,promotion-employee,"['promot(ed|ion)', '(rise|climb|progress|move) up', 'career(.*)(progress|advanc|accelerat|enhanc)', '(progress|advanc|accelerat|enhanc)(.*)career'],['employ(ee|ment)', 'work(er|force|( )?place)', ' job', 'contractor'],[8,15]",-,-,-,practice,from Fall 2021 list,promotion rates,
Recruitment/Retention/Promotion-Rates,Finalized (SET) pattern development,termination-employee,"['terminat(e|ion)', ' fire(d)? ', 'lay(-| )?off', 'involuntary turnover', 'dismiss'],['employee', 'work(er|force)', 'contractor'],[8,15]",-,-,-,practice,from Fall 2021 list,turnover rates,
Recruitment/Retention/Promotion-Rates,Finalized (SET) pattern development,promotion rates,"[' rate(s)? ', 'percent', 'amount', '(speed|pace) of'],['promot(ed|ion)', '(rise|climb|progress|move) up', 'career(.*)(progress|advanc|accelerat|enhanc)', '(progress|advanc|accelerat|enhanc)(.*)career'],['employ(ee|ment)', 'work(er|force|( )?place)', ' job', 'contractor'],[7,10,10,15]",-,-,-,outcome,As You Sow - Racial Justice Scorecard (DEI METRICS MAPPING Spreadsheet),promotion rates,
Recruitment/Retention/Promotion-Rates,Finalized (SET) pattern development,recruitment rates,"[' rate(s)? ', 'percent', 'amount', '(speed|pace) of'],[' hir(e(s|d)?|ing) ', 'recruit', 'attract', '(bring|draw(n)?) (in|to)'],['employ', 'work(er|force)', 'contractor', ' position', 'opportunit', 'opening', 'seek(er|ing)', 'applicant', 'vacanc'],[7,10,10,15]",-,-,-,outcome,As You Sow - Racial Justice Scorecard (DEI METRICS MAPPING Spreadsheet),recruitment rates,
Recruitment/Retention/Promotion-Rates,Finalized (SET) pattern development,retention rates,"[' rate(s)? ', 'percent', 'amount', '(speed|pace) of'],['retain', 'keep', 'stay', 'loyal', 'do( not|n\'t) leave', 'retention'],['employee', 'work(er|force)', 'contractor'],[7,10,10,15]",-,-,-,outcome,As You Sow - Racial Justice Scorecard (DEI METRICS MAPPING Spreadsheet),retention rates,
